iter	MultiClass
0	0.8808959157
1	0.6775477133
2	0.5491188719
3	0.4665080178
4	0.4112345936
5	0.3740310257
6	0.340933274
7	0.322359943
8	0.3060021002
9	0.2905232973
10	0.2813667266
11	0.2671182911
12	0.2599199246
13	0.2492414218
14	0.2428813628
15	0.2344524619
16	0.2286032808
17	0.2248614194
18	0.2202409926
19	0.2142148259
20	0.208611669
21	0.2065197499
22	0.2028047523
23	0.1985164056
24	0.1945786238
25	0.1906589983
26	0.1888568556
27	0.1855039771
28	0.182784158
29	0.1799299898
30	0.1773299644
31	0.1765950916
32	0.1741859788
33	0.1712622325
34	0.1697667376
35	0.1684722288
36	0.1664194428
37	0.1638469262
38	0.1623354924
39	0.160462389
40	0.1594337905
41	0.1579333376
42	0.1560307231
43	0.1532380654
44	0.1509989034
45	0.148838062
46	0.1472302532
47	0.1463428529
48	0.145058554
49	0.1428077886
50	0.1411786684
51	0.1392485517
52	0.1377291714
53	0.1364229042
54	0.1359844293
55	0.1345210718
56	0.1330907151
57	0.1320581846
58	0.1310588815
59	0.129598024
60	0.1287974701
61	0.127743565
62	0.125908005
63	0.1249592861
64	0.1232562744
65	0.122565673
66	0.1220228656
67	0.1216443389
68	0.1210284992
69	0.1204394351
70	0.1193527619
71	0.1184840839
72	0.1166478833
73	0.1159895124
74	0.115188348
75	0.1142515037
76	0.1135105415
77	0.1131472866
78	0.1123619092
79	0.1118097667
80	0.1109992772
81	0.1105373039
82	0.1101895784
83	0.1091225973
84	0.1083506922
85	0.107725211
86	0.1072785934
87	0.1066144209
88	0.1061644331
89	0.1052374082
90	0.104921678
91	0.1045839104
92	0.1030935964
93	0.1027380027
94	0.1021743836
95	0.1016371265
96	0.1011229042
97	0.1006738834
98	0.1003277727
99	0.100060318
