iter	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=0,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=0,TP	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=1,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=1,TP	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=2,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=2,TP	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=3,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=3,TP	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FN	TotalF1:average=Weighted;use_weights=false_Class=4,TP+FP	TotalF1:average=Weighted;use_weights=false_Class=4,TP	Accuracy_SumError	Accuracy_SumWeight
0	8485	32336	8452	899	0	0	1441	0	0	67419	50840	50584	13271	8339	7982	67018	91515
1	8485	2876	697	899	0	0	1441	0	0	67419	80277	67396	13271	8362	7523	75616	91515
2	8485	6381	2188	899	0	0	1441	0	0	67419	76638	67215	13271	8496	7624	77027	91515
3	8485	5713	2578	899	0	0	1441	0	0	67419	75755	67162	13271	10047	9510	79250	91515
4	8485	5840	2592	899	0	0	1441	0	0	67419	75949	67173	13271	9726	9232	78997	91515
5	8485	5727	2585	899	0	0	1441	0	0	67419	75562	67076	13271	10226	9626	79287	91515
6	8485	7214	3428	899	0	0	1441	0	0	67419	73877	66781	13271	10424	9716	79925	91515
7	8485	5825	2761	899	0	0	1441	0	0	67419	73832	66757	13271	11858	10291	79809	91515
8	8485	7010	3316	899	0	0	1441	0	0	67419	73838	66758	13271	10667	9656	79730	91515
9	8485	7018	3335	899	0	0	1441	0	0	67419	73270	66604	13271	11227	9829	79768	91515
10	8485	7092	3323	899	0	0	1441	0	0	67419	72933	66501	13271	11490	9855	79679	91515
11	8485	7001	3311	899	0	0	1441	0	0	67419	72982	66520	13271	11532	9861	79692	91515
12	8485	6960	3272	899	0	0	1441	0	0	67419	72978	66535	13271	11577	9901	79708	91515
13	8485	7502	3681	899	0	0	1441	0	0	67419	72907	66472	13271	11106	9802	79955	91515
14	8485	7525	3671	899	0	0	1441	0	0	67419	72889	66452	13271	11101	9761	79884	91515
15	8485	7608	3708	899	0	0	1441	0	0	67419	72906	66469	13271	11001	9742	79919	91515
16	8485	7701	3750	899	0	0	1441	0	0	67419	72801	66442	13271	11013	9743	79935	91515
17	8485	7876	3794	899	0	0	1441	0	0	67419	72661	66441	13271	10978	9731	79966	91515
18	8485	7215	3405	899	0	0	1441	0	0	67419	72576	66182	13271	11724	9822	79409	91515
19	8485	6684	3029	899	0	0	1441	0	0	67419	72614	66192	13271	12217	9931	79152	91515
20	8485	7227	3313	899	0	0	1441	0	0	67419	72496	66155	13271	11792	9803	79271	91515
