iter	Passed	Remaining
0	79	7851
1	146	7201
2	226	7329
3	298	7157
4	375	7128
5	444	6960
6	522	6946
7	590	6786
8	662	6696
9	744	6701
10	820	6638
11	899	6593
12	959	6421
13	1032	6342
14	1101	6243
15	1172	6155
16	1248	6096
17	1316	5998
18	1376	5869
19	1449	5796
20	1519	5717
21	1588	5632
22	1657	5549
23	1720	5447
24	1791	5374
25	1865	5308
26	1933	5228
27	2002	5149
28	2078	5089
29	2148	5012
30	2208	4916
31	2267	4818
32	2338	4747
33	2418	4694
34	2490	4625
35	2564	4558
36	2638	4492
37	2713	4427
38	2876	4498
39	3073	4609
40	3297	4745
41	3534	4881
42	3708	4915
43	3845	4894
44	3988	4874
45	4176	4902
46	4342	4896
47	4450	4821
48	4571	4758
49	4698	4698
50	4821	4632
51	4936	4557
52	5059	4487
53	5168	4402
54	5268	4310
55	5402	4244
56	5526	4168
57	5663	4101
58	5814	4040
59	5949	3966
60	6058	3873
61	6194	3796
62	6316	3709
63	6485	3647
64	6624	3566
65	6694	3448
66	6758	3328
67	6818	3208
68	6886	3093
69	6949	2978
70	7013	2864
71	7091	2757
72	7172	2652
73	7395	2598
74	7702	2567
75	7945	2509
76	8120	2425
77	8291	2338
78	8488	2256
79	8659	2164
80	8821	2069
81	8958	1966
82	9096	1863
83	9268	1765
84	9432	1664
85	9592	1561
86	9720	1452
87	9851	1343
88	10029	1239
89	10205	1133
90	10382	1026
91	10521	914
92	10691	804
93	10853	692
94	11043	581
95	11207	466
96	11395	352
97	11544	235
98	11695	118
99	11841	0
